id;name;description;no_of_stock
1;bandwidth invoice;Regional;72964
2;Montana Consultant;fuchsia generate;75219
3;Credit Card Account;Fresh Specialist;72760
4;Berkshire;Hawaii;13110
5;Human integrated;synthesize connect Moldova;8474
6;Guarani mesh;distributed Berkshire Optimization;34491
7;payment withdrawal Persevering;Advanced solutions;49729
8;software User-centric Lead;Internal Representative Handmade Metal Mouse;31729
9;Arkansas backing up explicit;Identity PCI;52558
10;Architect Montana;Electronics COM Human;2860
